2026-04-10 22:28:23,064 | INFO | Starting Agent Marketplace API...
2026-04-10 22:29:23,675 | INFO | USER_REGISTERED | {"username": "testuser_auth"}
2026-04-10 22:29:25,738 | INFO | AUTH_SUCCESS | {"username": "testuser_auth"}
2026-04-10 22:30:20,888 | INFO | REGISTER_FAILED | {"username": "testuser_auth", "reason": "User exists"}
2026-04-10 22:30:22,933 | INFO | AUTH_SUCCESS | {"username": "testuser_auth"}
2026-04-10 22:30:24,971 | INFO | AGENTS_FETCHED | {"count": 3}
2026-04-10 22:30:26,998 | INFO | DEMO_USAGE | {"agent_id": "agent-001", "usage_count": 1, "max": 10}
2026-04-10 22:30:27,003 | INFO | AGENT_QUESTION | {"agent_id": "agent-001", "agent_name": "Data Analyzer", "question": "How many rock tracks?", "user": "testuser_auth"}
2026-04-10 22:30:29,023 | INFO | AGENT_PURCHASED | {"agent_id": "agent-001", "user": "testuser_auth"}
2026-04-10 22:30:31,059 | INFO | AGENT_QUESTION | {"agent_id": "agent-001", "agent_name": "Data Analyzer", "question": "How many total tracks?", "user": "testuser_auth"}
2026-04-10 22:30:33,089 | INFO | AGENT_QUESTION | {"agent_id": "agent-001", "agent_name": "Data Analyzer", "question": "What are the top genres?", "user": "testuser_auth"}
2026-04-10 22:30:35,136 | INFO | DEMO_USAGE | {"agent_id": "agent-002", "usage_count": 1, "max": 10}
2026-04-10 22:30:35,137 | INFO | QUERY_TOTAL | {"total": 3503}
2026-04-10 22:30:35,137 | INFO | AGENT_QUESTION | {"agent_id": "agent-002", "agent_name": "Query Executive", "question": "How many total tracks?", "user": "testuser_auth"}
2026-04-10 22:30:37,157 | INFO | DEMO_USAGE | {"agent_id": "agent-003", "usage_count": 1, "max": 10}
2026-04-10 22:30:37,158 | INFO | AGENT_QUESTION | {"agent_id": "agent-003", "agent_name": "Report Generator", "question": "Music catalog report", "user": "testuser_auth"}
2026-04-10 22:32:35,593 | INFO | USER_REGISTERED | {"username": "accesskey_test"}
2026-04-10 22:32:37,634 | INFO | DEMO_USAGE | {"agent_id": "agent-002", "usage_count": 1, "max": 10}
2026-04-10 22:32:37,635 | INFO | QUERY_TOTAL | {"total": 3503}
